,maiorAtraso,margemBrutaAcumulada,prazoMedioRecebimentoVendas,titulosEmAberto,diferencaPercentualRisco,percentualRisco,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,capitalSocial,scorePontualidade,Risco_Baixo,Risco_Medio,Risco_Muito Baixo,cluster
7753,0,0.36184287740000004,0,3051.0,0.6964285714285714,0.3035714285714285,1037829,461359,12,576470,2013,67800,1,1,0,0,0
7754,779,0.3460075111,0,0.0,0.875,0.125,5565059,0,12,0,2006,400000,0,1,0,0,0
7755,137,0.4672281746,0,0.0,0.9107142857142856,0.0892857142857142,18296066,9080091,11,9215975,1993,500000,1,0,0,1,1
7756,3,0.4024820107,0,2794.4,0.75,0.25,1623285,0,7,0,2019,100000,1,1,0,0,0
7757,0,0.0,0,0.0,0.8392857142857142,0.1607142857142857,1428482,678287,12,750195,2008,20000,0,1,0,0,0
7758,19,0.0,0,0.0,0.8571428571428571,0.1428571428571428,11336385,5009611,12,6326774,1995,100000,0,1,0,0,0
7759,3,0.5410307800999999,0,9880.0,0.875,0.125,15758544,0,12,0,1997,1360000,0,1,0,0,0
7760,0,0.3866329387,0,22692.0,0.875,0.125,95265517,0,12,0,2007,400000,1,1,0,0,0
7761,2,0.1331797028,0,0.0,0.5714285714285714,0.4285714285714285,280034,0,12,0,2017,95000,1,0,1,0,3
7762,0,0.6864215838,0,0.0,0.6785714285714285,0.3214285714285714,1075174,0,12,0,2007,12000,1,0,1,0,3
7763,6,0.5042425110000001,0,365280.77,0.875,0.125,26720918,10433418,12,16287500,2007,600000,1,1,0,0,0
7764,0,0.39917690219999996,0,5547.5,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
